Site,Frich,,Frich color,FDis,,,Fdis colors
BBS,0.014199076,142,#FF2E00,0.241853,242,45,#18A2D4
BCI,0.009446452,94,#FF8E00,0.2695799,270,73,#551A8B
BIF,0.014096011,141,#FF3000,0.2702958,270,73,#551A8B
CAX,0.007398471,74,#FFAE00,0.2572798,257,60,#3759C9
COU,0.008686622,87,#FF9C00,0.2308579,230,33,#0ADA55
CSN,0.01143547,114,#FF6600,0.2319487,232,35,#0CD06A
KRP,0.007793104,78,#FFAA00,0.2480309,248,51,#2286F5
NAK,0.013709975,137,#FF3800,0.2504147,250,53,#277CEB
NNN,0.015916552,159,#FF0C00,0.2668109,267,70,#4E2899
PSH,0.013994529,140,#FF3200,0.2668664,267,70,#4E2899
RNF,0.00044225,4,#FFFB00,0.2618553,262,65,#4241B1
UDZ,0.016497756,165,#FF0000,0.2670508,267,70,#4E2899
VB,0.008264768,83,#FFA500,0.1984659,198,1,#FFFF00
YAN,0.012401791,124,#FF5200,0.263166,263,66,#443CAC
YAS,0.011414894,114,#FF6600,0.2564278,256,59,#345ECE