Species,Body Mass,Diet,Social Group Size,Habitat,Activity Period,Avg. Litter Size
Canis aureus,10.34,Carnivore,Family groups,terrestrial,Non-restricted,4.97
Chlorocebus tantalus,3.39,Omnivore,Gregarious,scansorial,Diurnal,1
Cercopithecus lhoesti,5.6,Browser/Frugivore,Gregarious,scansorial,Diurnal,1
Gorilla beringei,132,Browser,Gregarious,scansorial,Diurnal,1
Otomys denti,0.15,Grazer/Browser,Solitary/pairs,terrestrial,Diurnal,1.59
Otomys tropicalis,0.147,Grazer/Browser,Solitary/pairs,terrestrial,Crepuscular,1.3
Funisciurus carruthersi,0.256,Frugivore/Seed predator,Solitary/pairs,scansorial,Diurnal,1.5
Pan troglodytes,38.8,Browser/Frugivore,Gregarious,scansorial,Diurnal,1
Funisciurus pyrropus,0.237,Frugivore/Seed Predator,Solitary/pairs,scansorial,Diurnal,1.26
Panthera pardus,49.35,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2
Mungos mungo,1.28,Insectivore,Gregarious,terrestrial,Diurnal,2.45
Hylochoerus meinertzhageni,157.7,Browser Grazer,Family,terrestrial,Nocturnal,3
Genetta maculata,1.88,Zoophage,Solitary/pairs,scansorial,Nocturnal,2.51
Cephalophus weynsi,16.5,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1
Mylomys dybowskii,0.113,Grazer/Browser,Solitary/pairs,terrestrial,DIurnal,4.18
Syncerus caffer,486.3,Grazer,Gregarious,terrestrial,Non-restricted,1
Ictonyx striatus,0.98,Carnivore,Solitary/pairs,scansorial,Nocturnal,2
Crocuta crocuta,65.03,Carnivore,Gregarious,terrestrial,Nocturnal/Crepuscular,2
Ichneumia albicauda,4.09,Zoophage,Solitary/pairs,scansorial,Nocturnal,2.3
Herpestes sanguineus,0.68,Carnivore,Coalitions,scansorial,Diurnal,2
Leptailurus serval,12.72,Carnivore,Solitary/pairs,terrestrial,Non-restricted,2.5
Philantomba monticola,5.55,Frugivore/Seed Predator,Solitary/pairs,terrestrial,Diurnal,1
Thryonomys gregorianus,3.88,Grazer,Coalitions,terrestrial,Nocturnal,2.91
Orycteropus afer,63.67,Insectivore,Solitary/pairs,terrestrial,Nocturnal,1
Potamochoerus larvatus,76.6,Browser/Frugivore,Family,terrestrial,Nocturnal,2.5
Rattus rattus,0.172,Omnivore,Gregarious,scansorial,Nocturnal,6.6
Tragelaphus spekii,79.83,Browser Grazer,Family,terrestrial,Non-restricted,1
Procavia capensis,3.03,Grazer/Browser,Gregarious,terrestrial,Diurnal,2.85
Atherurus africanus,2.89,Browser/Frugivore,Family,scansorial,Nocturnal,1.36
Cephalophus silvicultor,62,Browser/Frugivore,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1
Papio anubis,19.5,Browser/Frugivore,Gregarious,scansorial,Diurnal,1
Poecilogale albinucha,0.274,Carnivore,Solitary/pairs,terrestrial,Nocturnal,2.25
Cricetomys emini,1.24,Frugivore/Seed Predator,Solitary/pairs,scansorial,Nocturnal,3
Caracal aurata,11.17,Carnivore,Solitary/pairs,scansorial,Nocturnal/Crepuscular,2
Canis adustus,10.29,Omnivore,Coalitions,terrestrial,Nocturnal,4
Genetta servalina,1.4,Omnivore,Solitary/pairs,scansorial,Nocturnal,1.5
Tragelaphus scriptus,42.3,Browser,Solitary/pairs,terrestrial,Nocturnal,1
Herpestes ichneumon,3.17,Carnivore,Coalitions,terrestrial,Non-restricted,3.05
Atilax paludinosus,3.49,Zoophage,Solitary/pairs,terrestrial,Nocturnal,2
Sylvicapra grimmia,16.2,Browser,Solitary/pairs,terrestrial,Nocturnal/Crepuscular,1
Civettictis civetta,13.45,Omnivore,Solitary/pairs,scansorial,Nocturnal,2.5
Thryonomys swinderianus,5.325,Grazer,Coalitions,terrestrial,Nocturnal,3.95
Cephalophus nigrifrons,14.8,Browser/Frugivore,Solitary/pairs,terrestrial,Non-restricted,1
Mellivora capensis,9.19,Carnivore,Solitary/pairs,terrestrial,Non-restricted,1
Loxodonta africana,4092.05,Browser Grazer,Gregarious,terrestrial,Non-restricted,1
Cricetomys gambianus,1.235,Frugivore/Seed Predator,Coalitions,scansorial,Nocturnal,3.11
Phataginus tricuspis,2.3,Insectivore,Solitary/pairs,scansorial,Nocturnal,1